,Date,Annual Volatility
0,2019-12-02,19.422004440235305
1,2019-12-03,19.38394433523367
2,2019-12-04,19.123928146379995
3,2019-12-05,18.92311608904399
4,2019-12-06,18.936683507825975
5,2019-12-09,18.939023969674786
6,2019-12-10,19.04682496667921
7,2019-12-11,19.10677114250995
8,2019-12-12,19.458007211877565
9,2019-12-13,19.547999487653463
10,2019-12-16,19.570324948963652
11,2019-12-17,19.538721187975565
12,2019-12-18,19.538939319893426
13,2019-12-19,19.583056674547986
14,2019-12-20,19.498336138354038
15,2019-12-23,19.388873321182455
16,2019-12-24,19.353524491805622
17,2019-12-26,19.304868024414112
18,2019-12-27,18.713463092960488
19,2019-12-30,18.759255090192102
20,2019-12-31,18.723076164893744
21,2020-01-02,18.675517718017616
22,2020-01-03,18.500775076824365
23,2020-01-06,18.508661487211935
24,2020-01-07,18.472547929721138
25,2020-01-08,18.472938663191417
26,2020-01-09,18.475887100567213
27,2020-01-10,18.34904168927737
28,2020-01-13,18.170043548681942
29,2020-01-14,18.136711355645577
30,2020-01-15,18.151634220019282
31,2020-01-16,18.051850817248294
32,2020-01-17,18.05920149573117
33,2020-01-21,18.06592116499149
34,2020-01-22,18.043531642736156
35,2020-01-23,17.947287601934615
36,2020-01-24,17.976933926042552
37,2020-01-27,18.061521533264933
38,2020-01-28,18.028673207616695
39,2020-01-29,18.128171913893812
40,2020-01-30,18.13544572709455
41,2020-01-31,18.213961469730254
42,2020-02-03,18.245804702984877
43,2020-02-04,18.216273249321613
44,2020-02-05,18.222521356545958
45,2020-02-06,18.03173507023964
46,2020-02-07,17.98485184315202
47,2020-02-10,17.987054554140585
48,2020-02-11,17.951596073855054
49,2020-02-12,17.819402737556686
50,2020-02-13,17.7866184264991
51,2020-02-14,17.734756643891565
52,2020-02-18,17.812511698593227
53,2020-02-19,17.79068050991927
54,2020-02-20,17.860569790674727
55,2020-02-21,18.010126624140483
56,2020-02-24,18.056367554522286
57,2020-02-25,18.07131083933699
58,2020-02-26,18.03532383033601
59,2020-02-27,18.00106672477024
60,2020-02-28,18.676976641409457
61,2020-03-02,18.774630349229042
62,2020-03-03,18.77199814786559
63,2020-03-04,18.879046546087164
64,2020-03-05,18.878415492553387
65,2020-03-06,18.88265861177064
66,2020-03-09,18.89685199241519
67,2020-03-10,19.06438296732193
68,2020-03-11,19.14907137504275
69,2020-03-12,19.593553532108167
70,2020-03-13,19.621935153546524
71,2020-03-16,20.239838691138697
72,2020-03-17,20.44239995501821
73,2020-03-18,20.74216517317167
74,2020-03-19,20.787418226208857
75,2020-03-20,20.896967365354154
76,2020-03-23,21.176308139105164
77,2020-03-24,21.87601368686132
78,2020-03-25,21.922067100702396
79,2020-03-26,21.85292524868168
80,2020-03-27,22.66000115149775
