,Date,Annual Volatility
0,2020-03-27,29.02725661989901
1,2020-03-26,28.891433417211864
2,2020-03-25,28.877689187438886
3,2020-03-24,28.83620246031048
4,2020-03-23,27.634610091340146
5,2020-03-20,27.59252751567998
6,2020-03-19,27.52569567748732
7,2020-03-18,27.440076732166645
8,2020-03-17,27.435507344335853
9,2020-03-16,27.411225802579484
10,2020-03-13,26.72280703463385
11,2020-03-12,25.787257906875844
12,2020-03-11,19.969802499216346
13,2020-03-10,19.978577103562824
14,2020-03-09,19.747374014741503
15,2020-03-06,16.575635722491707
16,2020-03-05,16.23584975883013
17,2020-03-04,16.119749725888944
18,2020-03-03,16.108751678277585
19,2020-03-02,16.13449256094542
20,2020-02-28,16.03567795850655
21,2020-02-27,15.64812673631356
22,2020-02-26,15.410240909900981
23,2020-02-25,15.368935199614848
24,2020-02-24,15.336002117767695
25,2020-02-21,14.268411225265437
26,2020-02-20,14.20978958880471
27,2020-02-19,14.133461822320958
28,2020-02-18,14.111624871776428
29,2020-02-17,14.137050189053191
30,2020-02-14,14.190997758836565
31,2020-02-13,14.212154153811436
32,2020-02-12,14.252278564102468
33,2020-02-11,14.278057379407203
34,2020-02-10,14.289450305726978
35,2020-02-07,14.506741788294606
36,2020-02-06,14.522316042598247
37,2020-02-05,14.531938764967835
38,2020-02-04,14.457738056947916
39,2020-02-03,14.40353977907274
40,2020-01-31,14.378169525126651
41,2020-01-30,14.193731149791768
42,2020-01-29,14.101958348010106
43,2020-01-28,14.132097545221942
44,2020-01-27,13.961632457434703
45,2020-01-24,13.790468696801799
46,2020-01-23,13.760498744293383
47,2020-01-22,13.79811644360579
48,2020-01-21,13.790489419124043
49,2020-01-20,13.798672189137148
50,2020-01-17,13.804822093872781
51,2020-01-16,13.859117259959111
52,2020-01-15,13.846952062563256
53,2020-01-14,13.847999727133436
54,2020-01-13,13.875535867761279
55,2020-01-10,13.847272044810989
56,2020-01-09,13.873686499092406
57,2020-01-08,13.851262781147833
58,2020-01-07,13.858978996095974
59,2020-01-06,13.877139489044794
60,2020-01-03,14.170417886675182
61,2020-01-02,14.15098024510081
62,2019-12-30,14.122096655391617
63,2019-12-27,14.236332409518553
64,2019-12-23,14.250978522354933
65,2019-12-20,14.37709695995848
66,2019-12-19,14.415116900563694
67,2019-12-18,14.417958005330647
68,2019-12-17,14.48022432294085
69,2019-12-16,14.5052602081169
70,2019-12-13,14.488694652289169
71,2019-12-12,14.592315455599607
72,2019-12-11,14.587491474200815
73,2019-12-10,14.702907512735818
74,2019-12-09,14.720866887257376
75,2019-12-06,15.065182537931154
76,2019-12-05,15.048450184800657
77,2019-12-04,15.104058900074408
78,2019-12-03,15.210685629262501
79,2019-12-02,15.240473518487839
